timestamp tx ty tz qx qy qz qw 
1305033527.6662 1.4906 -1.1681 0.661 0.8959 0.0713 -0.046 -0.4361
1305033527.6961 1.4912 -1.1755 0.6596 0.8965 0.0693 -0.0443 -0.4353
1305033527.7262 1.4917 -1.1836 0.6583 0.8992 0.068 -0.0428 -0.4301
1305033527.7661 1.4925 -1.193 0.6564 0.9005 0.068 -0.0408 -0.4275
1305033527.7961 1.4934 -1.1998 0.6552 0.9021 0.0681 -0.039 -0.4244
1305033527.8261 1.4945 -1.2057 0.6546 0.9037 0.0667 -0.0376 -0.4213
1305033527.8661 1.4959 -1.2127 0.6539 0.9053 0.062 -0.037 -0.4187
1305033527.8962 1.4972 -1.2165 0.6535 0.9056 0.0579 -0.0365 -0.4186
1305033527.9361 1.4984 -1.2213 0.6528 0.9062 0.0509 -0.0369 -0.4182
1305033527.9661 1.4992 -1.2241 0.6523 0.9069 0.0475 -0.0362 -0.417
1305033527.9961 1.4996 -1.2272 0.652 0.9081 0.0448 -0.0355 -0.4148
1305033528.0361 1.4998 -1.2294 0.6513 0.9085 0.0427 -0.0356 -0.4142
1305033528.0661 1.4996 -1.2301 0.6512 0.9089 0.0421 -0.0355 -0.4134
1305033528.0961 1.4996 -1.2299 0.651 0.9092 0.0412 -0.0354 -0.4129
1305033528.1361 1.4995 -1.2281 0.6513 0.9095 0.0393 -0.0349 -0.4123
1305033528.1661 1.4996 -1.2255 0.6518 0.9089 0.0383 -0.0347 -0.4138
1305033528.1961 1.4999 -1.2217 0.652 0.9082 0.0371 -0.0361 -0.4154
1305033528.2361 1.4998 -1.216 0.6514 0.9076 0.0363 -0.0394 -0.4164
1305033528.2661 1.5005 -1.2113 0.6504 0.9078 0.0372 -0.0389 -0.4159
1305033528.2962 1.5011 -1.2055 0.65 0.9074 0.0392 -0.0368 -0.4168
1305033528.3361 1.5024 -1.1977 0.6491 0.9073 0.0408 -0.0343 -0.4171
1305033528.3661 1.5034 -1.1916 0.6487 0.9077 0.0413 -0.0348 -0.4162
1305033528.3961 1.504 -1.1848 0.6485 0.9066 0.0409 -0.0348 -0.4186
1305033528.4362 1.5056 -1.1743 0.6483 0.9057 0.0421 -0.0342 -0.4204
1305033528.4661 1.5066 -1.1664 0.648 0.9059 0.0431 -0.0344 -0.4199
1305033528.4962 1.5078 -1.1575 0.6475 0.9057 0.043 -0.0358 -0.4202
1305033528.5361 1.509 -1.1449 0.647 0.9052 0.0454 -0.0378 -0.4209
1305033528.5661 1.5103 -1.1347 0.6469 0.9045 0.0488 -0.0387 -0.4218
1305033528.5961 1.5115 -1.1239 0.6468 0.9035 0.0518 -0.0398 -0.4237
1305033528.6262 1.5133 -1.1132 0.6468 0.9029 0.0549 -0.0418 -0.4242
1305033528.6661 1.5162 -1.0985 0.647 0.9037 0.0542 -0.0447 -0.4223
1305033528.6962 1.5189 -1.0869 0.6473 0.9032 0.0528 -0.0455 -0.4235
1305033528.7261 1.5215 -1.0751 0.6475 0.9032 0.0515 -0.0471 -0.4234
1305033528.7661 1.5255 -1.0595 0.6478 0.9036 0.0517 -0.0486 -0.4225
1305033528.7961 1.5286 -1.0478 0.6481 0.9037 0.0499 -0.0485 -0.4225
1305033528.8361 1.5327 -1.0319 0.6484 0.9037 0.046 -0.0497 -0.4228
1305033528.8661 1.5359 -1.0199 0.6486 0.9043 0.0446 -0.0509 -0.4214
1305033528.8961 1.5388 -1.0077 0.6486 0.9043 0.0444 -0.0519 -0.4214
1305033528.9361 1.5427 -0.9914 0.6482 0.9037 0.0435 -0.0525 -0.4228
1305033528.966 1.5457 -0.9794 0.6478 0.9039 0.0432 -0.0511 -0.4225
1305033528.9961 1.5484 -0.967 0.6472 0.9034 0.0425 -0.0493 -0.4238
1305033529.0361 1.5517 -0.9506 0.6471 0.9035 0.0439 -0.0488 -0.4234
1305033529.0661 1.5538 -0.9385 0.6474 0.9036 0.0461 -0.0477 -0.4232
1305033529.0961 1.5556 -0.9264 0.6482 0.9026 0.0467 -0.0474 -0.4252
1305033529.1361 1.5574 -0.9091 0.6497 0.9012 0.0481 -0.0481 -0.4281
1305033529.1661 1.5588 -0.8964 0.6507 0.9009 0.0473 -0.0491 -0.4287
1305033529.1961 1.5601 -0.8833 0.652 0.8998 0.0467 -0.0482 -0.431
1305033529.2361 1.5615 -0.8656 0.6539 0.8992 0.046 -0.0465 -0.4326
1305033529.2661 1.5626 -0.852 0.6548 0.898 0.0452 -0.046 -0.4351
1305033529.2962 1.563 -0.8383 0.6563 0.8972 0.045 -0.0463 -0.4368
1305033529.3261 1.5637 -0.8245 0.658 0.8963 0.0455 -0.0453 -0.4388
1305033529.366 1.5642 -0.8064 0.6597 0.8948 0.0439 -0.0433 -0.4422
1305033529.3961 1.5645 -0.7926 0.6609 0.8939 0.0439 -0.0426 -0.4441
1305033529.4361 1.5644 -0.7743 0.6628 0.8931 0.0443 -0.0422 -0.4456
1305033529.4661 1.5641 -0.7607 0.6643 0.8925 0.0448 -0.0417 -0.4469
1305033529.4962 1.5637 -0.7468 0.6658 0.8909 0.045 -0.0408 -0.4501
1305033529.536 1.5628 -0.7285 0.6674 0.8898 0.0435 -0.0404 -0.4524
1305033529.5661 1.5618 -0.7144 0.6689 0.8909 0.0435 -0.04 -0.4504
1305033529.5961 1.5608 -0.6999 0.6694 0.8907 0.0418 -0.0399 -0.4509
1305033529.636 1.5592 -0.6804 0.6694 0.8905 0.0423 -0.0386 -0.4513
1305033529.6661 1.5582 -0.6659 0.6689 0.8913 0.0403 -0.035 -0.4502
1305033529.6961 1.557 -0.6511 0.6688 0.8916 0.0397 -0.0319 -0.45
1305033529.7361 1.555 -0.6312 0.669 0.8909 0.036 -0.03 -0.4517
1305033529.7661 1.5533 -0.616 0.6695 0.8904 0.032 -0.0298 -0.4531
1305033529.7961 1.5514 -0.6004 0.6703 0.8901 0.0269 -0.0326 -0.4539
1305033529.8362 1.5492 -0.5805 0.6706 0.8895 0.0188 -0.0351 -0.4552
1305033529.8661 1.5478 -0.5665 0.6708 0.8901 0.0152 -0.0346 -0.4541
1305033529.8961 1.5463 -0.5524 0.6706 0.8902 0.0146 -0.0333 -0.4541
1305033529.9361 1.5442 -0.5336 0.6706 0.8903 0.0163 -0.0331 -0.4539
1305033529.966 1.5427 -0.5198 0.6704 0.8906 0.0187 -0.0332 -0.4533
1305033530.0061 1.5414 -0.5003 0.6707 0.8896 0.0207 -0.0328 -0.455
1305033530.0361 1.5408 -0.4853 0.6705 0.8891 0.0198 -0.033 -0.4561
1305033530.0661 1.5405 -0.4699 0.6705 0.8885 0.0196 -0.0334 -0.4572
1305033530.1061 1.5403 -0.4496 0.6707 0.8883 0.0212 -0.0336 -0.4575
1305033530.1361 1.5401 -0.4339 0.6705 0.8887 0.0224 -0.0337 -0.4567
1305033530.1661 1.5404 -0.4178 0.6699 0.8887 0.0232 -0.0341 -0.4567
1305033530.2061 1.5413 -0.3959 0.668 0.8886 0.0248 -0.0357 -0.4566
1305033530.2361 1.5423 -0.3792 0.6663 0.8889 0.0256 -0.0353 -0.4561
1305033530.2661 1.5432 -0.3621 0.6643 0.8883 0.0269 -0.0359 -0.4571
1305033530.3061 1.5448 -0.3392 0.6615 0.8883 0.0279 -0.0374 -0.4569
1305033530.3361 1.5461 -0.3219 0.6597 0.8884 0.0287 -0.0392 -0.4565
1305033530.366 1.548 -0.3049 0.6579 0.8886 0.0295 -0.0399 -0.456
1305033530.4061 1.5507 -0.2826 0.6564 0.8915 0.0312 -0.0376 -0.4505
1305033530.4361 1.5536 -0.2665 0.6552 0.8924 0.0318 -0.036 -0.4487
1305033530.4661 1.5556 -0.2499 0.6536 0.893 0.0314 -0.0376 -0.4474
1305033530.5061 1.5589 -0.2277 0.6519 0.8938 0.0313 -0.0388 -0.4456
1305033530.5361 1.5611 -0.2117 0.6504 0.8944 0.0316 -0.0377 -0.4445
1305033530.5662 1.5628 -0.196 0.649 0.8959 0.0341 -0.0364 -0.4415
1305033530.6061 1.565 -0.1744 0.647 0.8944 0.0375 -0.035 -0.4444
1305033530.636 1.5666 -0.1602 0.6459 0.8963 0.0402 -0.033 -0.4404
1305033530.6661 1.5669 -0.1433 0.6457 0.8926 0.0439 -0.0335 -0.4474
1305033530.7061 1.5677 -0.1238 0.6455 0.893 0.044 -0.0333 -0.4467
1305033530.7361 1.568 -0.1092 0.6452 0.8912 0.0419 -0.0341 -0.4504
1305033530.766 1.5685 -0.0955 0.6459 0.8919 0.0426 -0.0343 -0.4488
1305033530.8061 1.5687 -0.0771 0.6466 0.8902 0.0425 -0.0342 -0.4523
1305033530.8261 1.5688 -0.0684 0.6475 0.8902 0.0431 -0.0337 -0.4523
1305033530.8661 1.5686 -0.0511 0.649 0.8882 0.044 -0.0342 -0.4561
1305033530.9061 1.5685 -0.0346 0.6505 0.8862 0.0442 -0.0338 -0.46
1305033530.9361 1.5684 -0.0233 0.6514 0.885 0.0425 -0.0332 -0.4624
1305033530.9661 1.568 -0.0125 0.6522 0.884 0.0407 -0.0335 -0.4645
1305033531.006 1.5675 0.0007 0.6528 0.882 0.0409 -0.0343 -0.4683
1305033531.036 1.5666 0.0084 0.6533 0.8817 0.0415 -0.0336 -0.4688
1305033531.0661 1.5659 0.0149 0.6537 0.8815 0.0423 -0.0338 -0.4691
1305033531.1061 1.5644 0.0218 0.6538 0.8814 0.0415 -0.0344 -0.4692
1305033531.1361 1.5633 0.0253 0.654 0.881 0.0418 -0.0344 -0.4699
1305033531.1661 1.5621 0.0277 0.6541 0.8805 0.0431 -0.0353 -0.4707
1305033531.206 1.5601 0.0291 0.6539 0.8813 0.0411 -0.0369 -0.4693
1305033531.2361 1.5591 0.0286 0.6527 0.8819 0.0393 -0.0368 -0.4684
1305033531.2761 1.5574 0.0271 0.6514 0.8825 0.0382 -0.0371 -0.4673
1305033531.3061 1.5561 0.0247 0.6499 0.8834 0.0354 -0.0372 -0.4658
1305033531.3361 1.5554 0.0218 0.6485 0.8835 0.034 -0.0366 -0.4658
1305033531.3661 1.5544 0.018 0.647 0.8846 0.0306 -0.0363 -0.464
1305033531.406 1.5536 0.012 0.6456 0.886 0.0271 -0.0349 -0.4615
1305033531.436 1.553 0.0068 0.6447 0.8867 0.0244 -0.0331 -0.4605
1305033531.4661 1.5529 0.0013 0.644 0.8869 0.0223 -0.0309 -0.4604
1305033531.5061 1.5523 -0.0072 0.6434 0.8881 0.018 -0.0293 -0.4584
1305033531.5361 1.552 -0.014 0.6429 0.8878 0.0157 -0.0265 -0.4592
1305033531.5761 1.5532 -0.0261 0.6424 0.8923 0.0103 -0.0216 -0.4509
1305033531.6061 1.5536 -0.0349 0.6417 0.892 0.0069 -0.0186 -0.4517
1305033531.6363 1.5533 -0.0435 0.6422 0.892 0.003 -0.0145 -0.4518
1305033531.676 1.5527 -0.0566 0.6438 0.8937 -0.0033 -0.0078 -0.4486
1305033531.7061 1.5518 -0.0667 0.6451 0.8936 -0.0119 -0.0035 -0.4488
1305033531.7361 1.5504 -0.0769 0.6466 0.8934 -0.0211 -0.0022 -0.4487
1305033531.7761 1.5485 -0.0911 0.6483 0.893 -0.0336 0.0002 -0.4488
1305033531.806 1.5465 -0.1017 0.6497 0.8922 -0.0409 0.0039 -0.4497
1305033531.8361 1.5443 -0.1128 0.6506 0.8925 -0.0476 0.007 -0.4486
1305033531.8761 1.5407 -0.1271 0.6513 0.8911 -0.0538 0.0098 -0.4504
1305033531.906 1.5376 -0.1385 0.6513 0.8913 -0.0569 0.0128 -0.4497
1305033531.936 1.5348 -0.1491 0.6513 0.8916 -0.061 0.0175 -0.4483
1305033531.976 1.531 -0.1634 0.6517 0.8905 -0.0681 0.0213 -0.4494
1305033532.0061 1.5281 -0.174 0.6518 0.8896 -0.0751 0.023 -0.4499
1305033532.036 1.5256 -0.1854 0.6515 0.8891 -0.0831 0.0254 -0.4493
1305033532.0761 1.5216 -0.2012 0.6511 0.8894 -0.0931 0.0288 -0.4467
1305033532.0961 1.5196 -0.2087 0.651 0.8887 -0.0971 0.031 -0.4469
1305033532.1361 1.5157 -0.225 0.6514 0.8897 -0.102 0.0346 -0.4436
1305033532.1762 1.5121 -0.2406 0.6523 0.8893 -0.1067 0.0386 -0.443
1305033532.2061 1.5094 -0.2519 0.6535 0.8895 -0.1103 0.0393 -0.4418
1305033532.236 1.5073 -0.2631 0.6542 0.8893 -0.114 0.0412 -0.441
1305033532.2761 1.5051 -0.2778 0.6553 0.8895 -0.1192 0.0435 -0.439
1305033532.306 1.5037 -0.2887 0.6562 0.8894 -0.1211 0.0446 -0.4385
1305033532.336 1.5024 -0.2989 0.6572 0.8891 -0.1234 0.0458 -0.4385
1305033532.3761 1.5013 -0.3129 0.6582 0.8891 -0.1241 0.0472 -0.4381
1305033532.4061 1.501 -0.3235 0.6587 0.889 -0.1251 0.0486 -0.4379
1305033532.4361 1.5009 -0.3338 0.6596 0.8887 -0.1253 0.0504 -0.438
1305033532.476 1.5015 -0.3472 0.6607 0.8874 -0.1263 0.054 -0.4402
1305033532.5061 1.5018 -0.358 0.6615 0.8873 -0.1279 0.0555 -0.4397
1305033532.5361 1.5026 -0.3681 0.6623 0.8854 -0.1287 0.0575 -0.443
1305033532.5761 1.5029 -0.3839 0.6626 0.885 -0.1313 0.0591 -0.4428
1305033532.6061 1.503 -0.3955 0.663 0.8848 -0.1317 0.0604 -0.4429
1305033532.6361 1.5029 -0.4079 0.6633 0.8849 -0.1316 0.0627 -0.4423
1305033532.6761 1.5023 -0.4246 0.6639 0.8846 -0.1309 0.0647 -0.4428
1305033532.6961 1.5021 -0.4328 0.6643 0.8839 -0.1299 0.0662 -0.4443
1305033532.736 1.5018 -0.4497 0.6647 0.8833 -0.13 0.0682 -0.4453
1305033532.776 1.5016 -0.4672 0.6648 0.8831 -0.1313 0.0711 -0.4447
1305033532.8061 1.5018 -0.4814 0.6643 0.8836 -0.1348 0.0741 -0.4423
1305033532.8361 1.5023 -0.4948 0.6646 0.8833 -0.1397 0.0771 -0.4409
1305033532.8761 1.5031 -0.5121 0.6651 0.8818 -0.1494 0.0802 -0.4402
1305033532.906 1.5033 -0.525 0.6652 0.8815 -0.1571 0.0815 -0.4378
1305033532.936 1.5037 -0.5377 0.665 0.8809 -0.1635 0.0852 -0.4359
1305033532.966 1.504 -0.5499 0.6644 0.8802 -0.1695 0.09 -0.434
1305033533.0061 1.5042 -0.5654 0.6635 0.8799 -0.1781 0.0971 -0.4296
1305033533.0361 1.5043 -0.5763 0.6634 0.8801 -0.1869 0.1019 -0.4243
1305033533.0661 1.5039 -0.5861 0.6626 0.8782 -0.1975 0.1059 -0.4225
1305033533.0961 1.5039 -0.5953 0.6625 0.8756 -0.2092 0.1112 -0.421
1305033533.1361 1.5028 -0.6053 0.6637 0.874 -0.2246 0.1165 -0.415
1305033533.166 1.5022 -0.6123 0.6635 0.8701 -0.2355 0.1218 -0.4155
1305033533.206 1.5008 -0.6209 0.6636 0.8656 -0.2523 0.1304 -0.4124
1305033533.2361 1.4996 -0.6261 0.6635 0.8608 -0.2664 0.1369 -0.4115
1305033533.266 1.4978 -0.6314 0.6635 0.8561 -0.2807 0.1433 -0.4095
1305033533.3061 1.4946 -0.6375 0.6642 0.8495 -0.2996 0.1513 -0.4071
1305033533.336 1.4919 -0.6416 0.6652 0.8442 -0.3135 0.1586 -0.405
1305033533.3661 1.4884 -0.646 0.6668 0.8383 -0.3284 0.1669 -0.402
1305033533.396 1.4847 -0.6499 0.6681 0.8299 -0.345 0.1721 -0.4032
1305033533.436 1.4798 -0.655 0.6698 0.8194 -0.3676 0.1761 -0.4032
1305033533.4661 1.4758 -0.6586 0.67 0.8119 -0.3834 0.1782 -0.4026
1305033533.506 1.4702 -0.6643 0.6714 0.8056 -0.3977 0.1843 -0.3985
1305033533.5361 1.4661 -0.6689 0.672 0.7996 -0.4058 0.1911 -0.3992
1305033533.576 1.4603 -0.6762 0.6726 0.7934 -0.416 0.1988 -0.3974
1305033533.606 1.4559 -0.682 0.6726 0.7895 -0.4247 0.2026 -0.394
1305033533.636 1.4515 -0.6883 0.6717 0.7845 -0.4322 0.2074 -0.3935
1305033533.6661 1.4471 -0.6946 0.6711 0.7809 -0.4385 0.212 -0.3911
